id_number,length_cm,sex,decimal_age,readability
617,76,Female,0.402114753,3
859,80,Male,0.409474494,3
1223,76,Male,0.437277962,2
1783,82,Male,0.425011726,2
1222,70,Female,0.861075783,3
1806,75,Female,0.628375054,3
1785,82,Male,0.583971384,3
1817,88,Female,0.701042135,3
1812,94,Female,0.639479338,3
845,94,Male,1.283738763,3
568,95,Female,1.322859595,3
303,100,Female,1.207898389,3
577,101,Male,0.738197051,3
254,101,Male,1.171582802,3
268,103,Female,0.95721267,3
281,103,Male,1.105248844,3
253,104,Male,0.707209187,3
409,104,Female,1.456160375,3
555,110,Male,1.230039631,3
511,116,Male,1.589362411,3
371,128,Male,1.250035421,3
576,82,Male,0.714246987,2
1784,84,Female,0.748663983,2
1748,98,Female,0.811869532,2
358,100,Male,1.113951837,2
337,101,Female,0.650471412,2
1750,102,Female,0.925789431,2
248,106,Female,0.893383235,2
1742,106,Female,1.047061318,2
1794,110,Male,1.094916563,2
558,111,Male,1.030472218,2
280,124,Male,1.260592121,2
1743,95,Female,1.558535588,3
557,101,Male,1.788071866,3
559,102,Male,1.722397778,3
612,104,Female,1.882794857,3
1753,104,Male,1.932131254,3
1766,106,Male,1.73568337,3
349,106,Female,1.897714253,3
1761,106,Male,2.391311505,3
1792,107,Female,2.137879028,3
142,108,Male,2.009062243,3
343,109,Male,1.760549071,3
250,109,Male,1.900191855,3
1786,109,Female,2.096137039,3
160,109,Female,2.173337328,3
135,113,Female,1.788807966,3
275,113,Female,2.105095833,3
506,119,Female,1.884267058,3
1771,120,Male,1.745898973,3
278,122,Female,2.299030217,3
566,123,Male,1.850173265,3
257,123,Female,2.25998122,3
153,123,Male,2.374183807,3
1779,124,Female,2.033892045,3
1787,127,Male,2.4899843,3
860,131,Female,1.636561784,3
193,131,Female,2.037249342,3
180,135,Female,2.298330015,3
1765,137,Male,2.109314935,3
115,138,Female,2.233499724,3
245,142,Female,2.150213128,3
246,100,Male,2.220896325,2
165,102,Male,1.777640871,2
274,102,Male,2.260950722,2
318,103,Female,2.565335392,2
339,106,Female,2.484382802,2
1764,107,Female,1.646184881,2
574,112,Male,2.395997409,2
407,117,Female,2.290179119,2
305,117,Male,2.420432207,2
226,120,Female,2.187825821,2
192,121,Female,2.273159116,2
848,122,Female,2.33087981,2
501,123,Female,2.209064926,2
154,129,Female,2.362083108,2
200,133,Female,2.294577714,2
151,136,Female,2.038990843,2
508,137,Female,2.116388633,2
313,141,Female,2.113103134,2
596,142,Female,2.212583826,3
374,148,Female,2.512174897,2
608,117,Female,1.648159782,3
580,114,Male,2.942219022,4
341,104,Male,2.636964993,3
258,107,Male,2.532035787,3
597,113,Male,3.12357634,2
291,114,Male,2.49550035,3
357,116,Male,3.207868277,3
514,117,Female,2.530033843,3
605,117,Female,3.01879994,3
267,118,Male,2.703688998,3
259,118,Female,3.029706534,3
515,121,Female,2.779605554,3
255,125,Female,2.970370222,3
287,127,Female,3.074617353,3
282,130,Female,2.834758604,3
187,132,Female,3.50607565,3
210,133,Female,2.684398167,3
579,137,Female,3.292348445,3
213,140,Female,3.081672865,3
1758,141,Male,3.452610075,3
293,143,Female,2.993332759,3
113,143,Male,3.076789815,3
328,145,Female,3.004042266,3
377,145,Female,3.040927597,3
270,146,Female,2.916554754,3
233,148,Male,3.051493153,3
340,151,Female,3.889589217,3
325,152,Female,3.777954392,3
504,157,Female,3.743923599,3
1789,158,Female,2.812469285,3
215,159,Female,2.789677267,3
405,101,Female,2.712234898,2
350,106,Female,2.834605797,2
345,118,Female,3.207042252,2
321,118,Male,3.251288708,2
163,120,Female,2.888888541,2
150,126,Female,2.723464817,2
563,126,Male,3.054509353,2
188,127,Female,2.931312428,2
126,130,Female,2.955944728,2
569,132,Female,3.199492896,2
234,134,Female,2.970864066,2
145,137,Female,3.239062245,2
847,146,Female,2.510931243,2
