age,length,sex
0.402114753,84.4436,female
0.409474494,88.888,male
0.425011726,91.1102,male
0.437277962,84.4436,male
0.583971384,91.1102,male
0.628375054,83.3325,female
0.639479338,104.4434,female
0.650471412,112.2211,female
0.701042135,97.7768,female
0.707209187,115.5544,male
0.714246987,91.1102,male
0.738197051,112.2211,male
0.748663983,93.3324,female
0.811869532,108.8878,female
0.861075783,77.777,female
0.893383235,117.7766,female
0.925789431,113.3322,female
0.95721267,114.4433,female
1.030472218,123.3321,male
1.047061318,117.7766,female
1.094916563,122.221,male
1.105248844,114.4433,male
1.113951837,111.11,male
1.171582802,112.2211,male
1.207898389,111.11,female
1.230039631,122.221,male
1.250035421,142.2208,male
1.260592121,137.7764,male
1.283738763,104.4434,male
1.322859595,105.5545,female
1.456160375,115.5544,female
1.558535588,105.5545,female
1.589362411,128.8876,male
1.636561784,145.5541,female
1.646184881,118.8877,female
1.648159782,129.9987,female
1.722397778,113.3322,male
1.73568337,117.7766,male
1.745898973,133.332,male
1.760549071,121.1099,male
1.777640871,113.3322,male
1.788071866,112.2211,male
1.788807966,125.5543,female
1.850173265,136.6653,male
1.882794857,115.5544,female
1.884267058,132.2209,female
1.897714253,117.7766,female
1.900191855,121.1099,male
1.932131254,115.5544,male
2.009062243,119.9988,male
2.033892045,137.7764,female
2.037249342,145.5541,female
2.038990843,151.1096,female
2.096137039,121.1099,female
2.105095833,125.5543,female
2.109314935,152.2207,male
2.113103134,156.6651,female
2.116388633,152.2207,female
2.137879028,118.8877,female
2.150213128,157.7762,female
2.173337328,121.1099,female
2.187825821,133.332,female
2.209064926,136.6653,female
2.212583826,157.7762,female
2.220896325,111.11,male
2.233499724,153.3318,female
2.25998122,136.6653,female
2.260950722,113.3322,male
2.273159116,134.4431,female
2.290179119,129.9987,female
2.294577714,147.7763,female
2.298330015,149.9985,female
2.299030217,135.5542,female
2.33087981,135.5542,female
2.362083108,143.3319,female
2.374183807,136.6653,male
2.391311505,117.7766,male
2.395997409,124.4432,male
2.420432207,129.9987,male
2.484382802,117.7766,female
2.4899843,141.1097,male
2.49550035,126.6654,male
2.510931243,162.2206,female
2.512174897,164.4428,female
2.530033843,129.9987,female
2.532035787,118.8877,male
2.565335392,114.4433,female
2.636964993,115.5544,male
2.684398167,147.7763,female
2.703688998,131.1098,male
2.712234898,112.2211,female
2.723464817,139.9986,female
2.737378754,166.665,female
2.779605554,134.4431,female
2.787325429,179.9982,female
2.789677267,176.6649,female
