age,Lhat,sigma,lower,upper
0.25,84.9941156749613,14.7264750951527,56.130754869236,113.857476480687
0.5,92.8580931020608,14.7044627464212,64.0378757070642,121.678310497057
0.75,100.224719773836,14.6838425504992,71.4449172202009,129.004522327471
1,107.125450227907,14.6645264618322,78.3835065123811,135.867393943433
1.25,113.589749685648,14.6464320032345,84.8832704572939,142.296228914003
1.5,119.645219864853,14.6294819137215,90.9719622014789,148.318477528227
1.75,125.317716835476,14.613603818616,96.675579666652,153.959854004301
2,130.63146142169,14.5987299205172,102.018476557449,159.244446285931
2.25,135.609142621653,14.5847967098152,107.023466348576,164.194818894729
2.5,140.272014486579,14.5717446935128,111.711919695381,168.832109277777
2.75,144.639986872775,14.559518141198,116.103855683769,173.176118061781
3,148.731710454133,14.5480648470832,120.218027309097,177.245393599169
3.25,152.564656358083,14.5373359070921,124.072001549022,181.057311167145
3.5,156.155190765038,14.5272855100467,127.682234372216,184.62814715786
3.75,159.518644789849,14.5178707420591,131.064141003205,187.973148576492
4,162.669379943676,14.5090514032945,134.232161743378,191.106598143973
4.25,165.62084945577,14.5007898363238,137.19982362919,194.041875282349
4.5,168.385655717013,14.4930507653306,139.979798190855,196.791513243172
4.75,170.975604090489,14.4858011454885,142.583955558123,199.367252622856
5,173.401753318845,14.4790100218638,145.023415144198,201.780091493493
5.25,175.674462743688,14.4726483972421,147.308593124182,204.040332363194
5.5,177.803436538621,14.4666891083137,149.449246910788,206.157626166454
5.75,179.797765144807,14.4611067096902,151.454516817223,208.14101347239
6,181.665964085967,14.4558773652556,153.332965085138,209.998963086795
6.25,183.41601032856,14.4509787463893,155.092612444283,211.739408212836
6.5,185.055376342391,14.4463899366261,156.740972359982,213.3697803248
6.75,186.591062007088,14.4420913423452,158.285083114653,214.897040899522
7,188.029624500672,14.4380646091082,159.731537860357,216.327711140986
7.25,189.377206297859,14.434292543288,161.086512770699,217.667899825019
7.5,190.639561397627,14.4307590386542,162.355793412289,218.923329382965
7.75,191.822079892041,14.4274490076016,163.544799448354,220.099360335729
8,192.929810981248,14.4243483167283,164.65860778,221.201014182497
8.25,193.967484532902,14.4214437264875,165.701974223916,222.232994841889
8.5,194.939531278086,14.4187228346568,166.679353819094,223.199708737079
8.75,195.850101729956,14.416174023382,167.594919849265,224.105283610646
9,196.703083905891,14.4137864095705,168.45258166228,224.953586149502
9.25,197.502119928825,14.4115497984219,169.256001362512,225.748238495137
9.5,198.250621578635,14.4094546398975,170.008609447572,226.492633709698
9.75,198.951784859999,14.4074919879431,170.713619456081,227.189950263917
10,199.60860364892,14.40565346229,171.374041689067,227.843165608773
10.25,200.223882476185,14.4039312126729,171.992696063554,228.455068888816
10.5,200.800248502351,14.4023178853099,172.572224153246,229.028272851455
10.75,201.340162735373,14.4008065915031,173.1151004677,229.565225003046
11,201.845930538793,14.3993908782245,173.623643018158,230.068218059428
11.25,202.319711475341,14.3980647005626,174.10002321516,230.539399735521
11.5,202.763528527984,14.3968223959113,174.546275140179,230.98078191579
11.75,203.179276737806,14.3956586597912,174.964304230883,231.394249244729
12,203.568731295579,14.3945685232006,175.355895417112,231.781567174047
12.25,203.933555121606,14.3935473313981,175.722720742293,232.144389500919
12.5,204.275305966165,14.3925907240274,176.066346502846,232.484265429484
12.75,204.595443060908,14.3916946164995,176.38823993607,232.802646185746
13,204.895333349584,14.3908551825519,176.68977548505,233.100891214117
13.25,205.176257324715,14.3900688379108,176.972240667358,233.380273982073
13.5,205.439414495133,14.3893322249869,177.236841572577,233.641987417689
13.75,205.685928507723,14.3886421985387,177.484708012154,233.887149003292
14,205.916851945251,14.3879958122432,177.716898343542,234.116805546961
14.25,206.133170820757,14.3873903061149,177.934403989251,234.331937652263
14.5,206.3358087877,14.3868230947215,178.138153670097,234.533463905303
14.75,206.525631083838,14.386291756144,178.329017370711,234.722244796966
15,206.703448225685,14.3857940216358,178.507810054267,234.899086397103
15.25,206.870019469304,14.3853277659354,178.675295142267,235.064743796342
15.5,207.026056052238,14.3848909981916,178.832187774248,235.219924330228
15.75,207.172224230399,14.3844818534629,178.979157861342,235.365290599456
16,207.309148122893,14.3840985847545,179.1168329467,235.501463299085
16.25,207.43741237693,14.3837395555589,179.24580088503,235.629023868829
16.5,207.557564664189,14.3834032328682,179.36661235265,235.748516975728
16.75,207.670118019308,14.3830881806282,179.479783198813,235.860452839803
17,207.775553030472,14.3827930536068,179.585796648309,235.965309412634
17.25,207.874319891463,14.3825165916501,179.685105364779,236.063534418146
17.5,207.966840323929,14.3822576143014,179.778133383522,236.155547264337
